ずるい,ずるい,cunning; sneaky,あなたのやり <ruby>方<rt><span class="furigana">かた</span></rt></ruby>はずるい。,Your method is cunning.
細長い,ほそながい,long and thin; long and narrow,その <ruby>細長<rt><span class="furigana">ほそなが</span></rt></ruby>い <ruby>棒<rt><span class="furigana">ぼう</span></rt></ruby>を <ruby>取<rt><span class="furigana">と</span></rt></ruby>ってください。,Please take that long and thin stick.
まずい,まずい,problematic; troublesome,<ruby>今日<rt><span class="furigana">きょう</span></rt></ruby> <ruby>中<rt><span class="furigana">じゅう</span></rt></ruby>に <ruby>返答<rt><span class="furigana">へんとう</span></rt></ruby>しなければまずい。,If I don't reply by the end of today; I'll be in trouble.
貧しい,まずしい,poor; impoverished,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>貧<rt><span class="furigana">まず</span></rt></ruby>しい <ruby>家庭<rt><span class="furigana">かてい</span></rt></ruby>で <ruby>育<rt><span class="furigana">そだ</span></rt></ruby>ったんだ。,He grew up in a poor family.
辛い,つらい,hard; tough,この <ruby>仕事<rt><span class="furigana">しごと</span></rt></ruby>は <ruby>辛<rt><span class="furigana">つら</span></rt></ruby>いです。,This work is hard.
薄暗い,うすぐらい,gloomy; dim,<ruby>外<rt><span class="furigana">そと</span></rt></ruby>はもう <ruby>薄暗<rt><span class="furigana">うすぐら</span></rt></ruby>くなりましたよ。,It is already getting dark outside.
鋭い,するどい,sharp; acute,<ruby>鋭<rt><span class="furigana">するど</span></rt></ruby>い <ruby>刃物<rt><span class="furigana">はもの</span></rt></ruby>で <ruby>指<rt><span class="furigana">ゆび</span></rt></ruby>を <ruby>怪我<rt><span class="furigana">けが</span></rt></ruby>した。,I injured my finger on a sharp knife.
面倒臭い,めんどうくさい,troublesome; tiresome,この <ruby>計算<rt><span class="furigana">けいさん</span></rt></ruby>は <ruby>面倒臭<rt><span class="furigana">めんどうくさ</span></rt></ruby>いなあ。,This calculation is troublesome.
慌ただしい,あわただしい,busy and hurried,<ruby>今日<rt><span class="furigana">きょう</span></rt></ruby>は <ruby>慌<rt><span class="furigana">あわ</span></rt></ruby>ただしい <ruby>一<rt><span class="furigana">いち</span></rt></ruby> <ruby>日<rt><span class="furigana">にち</span></rt></ruby>でした。,It was a busy day today.
幼い,おさない,little; childish,<ruby>彼女<rt><span class="furigana">かのじょ</span></rt></ruby>には <ruby>幼<rt><span class="furigana">おさな</span></rt></ruby>い <ruby>息子<rt><span class="furigana">むすこ</span></rt></ruby>がいます。,She has a little son.
悔しい,くやしい,frustrating; regrettable,<ruby>試合<rt><span class="furigana">しあい</span></rt></ruby>に <ruby>負<rt><span class="furigana">ま</span></rt></ruby>けてとても <ruby>悔<rt><span class="furigana">くや</span></rt></ruby>しい。,I'm so frustrated because we lost the game.
賢い,かしこい,wise; smart,<ruby>彼<rt><span class="furigana">かれ</span></rt></ruby>は <ruby>冷静<rt><span class="furigana">れいせい</span></rt></ruby>で <ruby>賢<rt><span class="furigana">かしこ</span></rt></ruby>い <ruby>男<rt><span class="furigana">おとこ</span></rt></ruby>だね。,He is a calm; wise man.
蒸し暑い,むしあつい,hot and humid,<ruby>今日<rt><span class="furigana">きょう</span></rt></ruby>は <ruby>蒸<rt><span class="furigana">む</span></rt></ruby>し <ruby>暑<rt><span class="furigana">あつ</span></rt></ruby>いね。,It's hot and humid today.
たまらない,たまらない,can't stand; unbearable,<ruby>頭<rt><span class="furigana">あたま</span></rt></ruby>が <ruby>痛<rt><span class="furigana">いた</span></rt></ruby>くてたまらない。,I have an unbearable headache.
